12
1   0.50d0  -0.333333333333d0   0.0d0   0.08333333333333333d0
2   0.25d0  -0.333333333333d0   0.0d0   0.08333333333333333d0
3   0.00d0  -0.333333333333d0   0.0d0   0.08333333333333333d0
4  -0.25d0  -0.333333333333d0   0.0d0   0.08333333333333333d0
5   0.50d0   0.000000000000d0   0.0d0   0.08333333333333333d0
6   0.25d0   0.000000000000d0   0.0d0   0.08333333333333333d0
7   0.00d0   0.000000000000d0   0.0d0   0.08333333333333333d0
8  -0.25d0   0.000000000000d0   0.0d0   0.08333333333333333d0
9   0.50d0   0.333333333333d0   0.0d0   0.08333333333333333d0
10  0.25d0   0.333333333333d0   0.0d0   0.08333333333333333d0
11  0.00d0   0.333333333333d0   0.0d0   0.08333333333333333d0
12 -0.25d0   0.333333333333d0   0.0d0   0.08333333333333333d0
